dataset,mode,experiment,model,kind,accuracy,macro_f1,balanced_acc,MCC,FAR,DR
swat,binary,E1,Llama-3.3-70B,LLM,0.84,0.8357963875205254,0.8400000000000001,0.7177405625652734,0.0,0.68
swat,binary,E1,Qwen3-235B-A22B,LLM,0.83,0.8249407887962105,0.8300000000000001,0.7018100265975371,0.0,0.66
swat,binary,E1,Hermes-4-70B,LLM,0.7,0.696969696969697,0.7,0.4082482904638631,0.4,0.8
swat,binary,E1,Hermes-4-405B,LLM,0.81,0.8028841166096068,0.81,0.6702800625998364,0.0,0.62
swat,binary,E1,RandomForest,Anchor,0.79,0.7803117480908045,0.79,0.6391014819458269,0.0,0.58
swat,binary,E1,TabPFN,Anchor,0.79,0.7803117480908045,0.79,0.6391014819458269,0.0,0.58
swat,binary,E1,TabICL,Anchor,0.82,0.8139727159983464,0.8200000000000001,0.6859943405700354,0.0,0.64
swat,binary,E2_k5,Qwen3-235B-A22B,LLM,0.83,0.8249407887962105,,0.7018100265975371,0.0,0.66
swat,binary,E2_k5,RandomForest,Anchor,0.79,0.7803117480908045,,0.6391014819458269,0.0,0.58
swat,binary,E2_k5,TabPFN,Anchor,0.79,0.7803117480908045,,0.6391014819458269,0.0,0.58
swat,binary,E2_k5,TabICL,Anchor,0.82,0.8139727159983464,,0.6859943405700354,0.0,0.64
swat,binary,E2_k10,Qwen3-235B-A22B,LLM,0.85,0.8465473145780051,,0.7337993857053429,0.0,0.7
swat,binary,E2_k10,RandomForest,Anchor,0.85,0.8465473145780051,,0.7337993857053429,0.0,0.7
swat,binary,E2_k10,TabPFN,Anchor,0.84,0.8383838383838383,,0.6940220937885672,0.06,0.74
swat,binary,E2_k10,TabICL,Anchor,0.86,0.8572011423908609,,0.75,0.0,0.72
swat,binary,E2_k25,Qwen3-235B-A22B,LLM,0.91,0.909265046879726,,0.8336157713463008,0.0,0.82
swat,binary,E2_k25,RandomForest,Anchor,0.91,0.9097744360902256,,0.8241310085125538,0.04,0.86
swat,binary,E2_k25,TabPFN,Anchor,0.87,0.8699869986998701,,0.7401480444148052,0.12,0.86
swat,binary,E2_k25,TabICL,Anchor,0.92,0.9197109594540344,,0.8461141122266493,0.02,0.86
swat,binary,E2_k50,Qwen3-235B-A22B,LLM,0.99,0.98999899989999,,0.9801960588196068,0.0,0.98
swat,binary,E2_k50,RandomForest,Anchor,0.97,0.96999699969997,,0.9401880564188068,0.04,0.98
swat,binary,E2_k50,TabPFN,Anchor,0.99,0.98999899989999,,0.9801960588196068,0.0,0.98
swat,binary,E2_k50,TabICL,Anchor,0.99,0.98999899989999,,0.9801960588196068,0.0,0.98
swat,binary,E2_k100,Qwen3-235B-A22B,LLM,1.0,1.0,,1.0,0.0,1.0
swat,binary,E2_k100,RandomForest,Anchor,1.0,1.0,,1.0,0.0,1.0
swat,binary,E2_k100,TabPFN,Anchor,1.0,1.0,,1.0,0.0,1.0
swat,binary,E2_k100,TabICL,Anchor,1.0,1.0,,1.0,0.0,1.0
swat,binary,E3_nl-narrative,Qwen3-235B-A22B,LLM,0.84,0.8357963875205254,0.8400000000000001,0.7177405625652734,0.0,0.68
swat,binary,E3_typed-json,Qwen3-235B-A22B,LLM,0.83,0.8249407887962105,0.8300000000000001,0.7018100265975371,0.0,0.66
swat,binary,E3_role-instructed-ot,Qwen3-235B-A22B,LLM,0.83,0.8249407887962105,0.8300000000000001,0.7018100265975371,0.0,0.66
swat,binary,E3_raw-json,Qwen3-235B-A22B,LLM,0.8,0.7933030177759405,0.8,0.6431196942844082,0.02,0.62
swat,binary,E7_LLM_subset,Qwen3-235B-A22B,LLM,0.8406666666666667,0.8378412119435714,0.8406666666666667,0.706394310415968,0.0273333333333333,0.7086666666666667
swat,binary,E7_anchor_full,RandomForest,Anchor,0.8270754150830166,0.8218147426150022,0.8270754150830166,0.6965733564166064,0.0011002200440088,0.655251050210042
swat,binary,E7_anchor_full,TabPFN,Anchor,0.8056511302260452,0.80298483955397,0.8056511302260452,0.6285518791644246,0.0780156031206241,0.6893178635727145
swat,binary,E7_anchor_full,TabICL,Anchor,0.8194838967793558,0.8146684383525972,0.8194838967793558,0.6750072292624291,0.0193238647729545,0.6582916583316664
swat,binary,E7_multiseed,Qwen3-235B-A22B,LLM,0.836388888888889,0.8332309439837422,,0.6997759787889807,0.0261111111111111,0.6988888888888889
swat,binary,E7_multiseed,RandomForest,Anchor,0.8269687270787491,0.8218344620161484,,0.6952321557423247,0.0032873241314929,0.6572247782889912
swat,binary,E7_multiseed,TabICL,Anchor,0.8180936187237448,0.8133383711833964,,0.6713126574959413,0.0223177968927118,0.6585050343402014
swat,binary,E7_multiseed,TabPFN,Anchor,0.8051743682069747,0.8025821994194562,,0.6270385845627454,0.0802427152097086,0.690591451623658
hai,binary,E1,Llama-3.3-70B,LLM,0.67,0.6601791782514674,0.6699999999999999,0.3615384985502464,0.16,0.5
hai,binary,E1,Qwen3-235B-A22B,LLM,0.68,0.677938808373591,0.6799999999999999,0.3646984043128985,0.24,0.6
hai,binary,E1,Hermes-4-70B,LLM,0.53,0.4350282485875706,0.53,0.1048284836721918,0.88,0.94
hai,binary,E1,Hermes-4-405B,LLM,0.59,0.516452411841019,0.59,0.2876412474452668,0.02,0.2
hai,binary,E1,RandomForest,Anchor,0.72,0.7159090909090908,0.72,0.453247103886681,0.16,0.6
hai,binary,E1,TabPFN,Anchor,0.67,0.6691729323308271,0.6699999999999999,0.3417128571881321,0.28,0.62
hai,binary,E1,TabICL,Anchor,0.73,0.7266929851199515,0.73,0.4715531116602195,0.16,0.62
hai,binary,E2_k5,Qwen3-235B-A22B,LLM,0.7,0.696969696969697,,0.4082482904638631,0.2,0.6
hai,binary,E2_k5,RandomForest,Anchor,0.72,0.7159090909090908,,0.453247103886681,0.16,0.6
hai,binary,E2_k5,TabPFN,Anchor,0.67,0.6691729323308271,,0.3417128571881321,0.28,0.62
hai,binary,E2_k5,TabICL,Anchor,0.73,0.7266929851199515,,0.4715531116602195,0.16,0.62
hai,binary,E2_k10,Qwen3-235B-A22B,LLM,0.84,0.8397435897435898,,0.6821865008193587,0.2,0.88
hai,binary,E2_k10,RandomForest,Anchor,0.86,0.8590982286634461,,0.729396808625797,0.22,0.94
hai,binary,E2_k10,TabPFN,Anchor,0.82,0.8173701298701299,,0.6592685147442633,0.3,0.94
hai,binary,E2_k10,TabICL,Anchor,0.86,0.859775641025641,,0.7223151185146152,0.18,0.9
hai,binary,E2_k25,Qwen3-235B-A22B,LLM,0.85,0.8498648783905515,,0.7012634122382534,0.18,0.88
hai,binary,E2_k25,RandomForest,Anchor,0.9,0.8993558776167472,,0.8104408984731077,0.18,0.98
hai,binary,E2_k25,TabPFN,Anchor,0.9,0.8996386993175431,,0.8058229640253803,0.16,0.96
hai,binary,E2_k25,TabICL,Anchor,0.88,0.8798076923076923,,0.7624437362098715,0.16,0.92
hai,binary,E2_k50,Qwen3-235B-A22B,LLM,0.97,0.96999699969997,,0.9401880564188068,0.02,0.96
hai,binary,E2_k50,RandomForest,Anchor,0.98,0.98,,0.96,0.02,0.98
hai,binary,E2_k50,TabPFN,Anchor,0.99,0.98999899989999,,0.9801960588196068,0.02,1.0
hai,binary,E2_k50,TabICL,Anchor,0.97,0.96999699969997,,0.9401880564188068,0.02,0.96
hai,binary,E2_k100,Qwen3-235B-A22B,LLM,0.98,0.98,,0.96,0.02,0.98
hai,binary,E2_k100,RandomForest,Anchor,1.0,1.0,,1.0,0.0,1.0
hai,binary,E2_k100,TabPFN,Anchor,1.0,1.0,,1.0,0.0,1.0
hai,binary,E2_k100,TabICL,Anchor,1.0,1.0,,1.0,0.0,1.0
hai,binary,E3_typed-json,Qwen3-235B-A22B,LLM,0.72,0.7189883580891208,0.72,0.4432026302139591,0.22,0.66
hai,binary,E3_raw-json,Qwen3-235B-A22B,LLM,0.69,0.6897207486738064,0.69,0.3806858523579089,0.28,0.66
hai,binary,E3_role-instructed-ot,Qwen3-235B-A22B,LLM,0.67,0.6683750376846548,0.6699999999999999,0.3433817943798801,0.26,0.6
hai,binary,E3_nl-narrative,Qwen3-235B-A22B,LLM,0.61,0.6068152031454783,0.61,0.2236530118246172,0.48,0.7
hai,binary,E7_LLM_subset,Qwen3-235B-A22B,LLM,0.6845,0.6275038583588505,0.7119064299251026,0.340015566108402,0.3328509406657018,0.7566638005159071
hai,binary,E7_anchor_full,RandomForest,Anchor,0.7213836477987421,0.6685630484984273,0.7630253088887329,0.4232951982065911,0.3049809961992398,0.8310316139767054
hai,binary,E7_anchor_full,TabPFN,Anchor,0.6843251088534107,0.6420925649263911,0.758302816969384,0.4095776235503735,0.3625125025005001,0.8791181364392678
hai,binary,E7_anchor_full,TabICL,Anchor,0.7514110627318175,0.6899038739304709,0.7658513649485305,0.4376734401928985,0.2577315463092618,0.7894342762063228
hai,binary,E7_multiseed,Qwen3-235B-A22B,LLM,0.6895555555555556,0.6327218114387222,,0.3498577244215547,0.3283715801805527,0.764115792490685
hai,binary,E7_multiseed,RandomForest,Anchor,0.7065903348922217,0.6570394745971181,,0.4126504291561947,0.3259385210375409,0.8418746533555185
hai,binary,E7_multiseed,TabICL,Anchor,0.7329893028006236,0.6776394991265834,,0.4324324209068548,0.2883109955324398,0.8215751525235718
hai,binary,E7_multiseed,TabPFN,Anchor,0.683481158952857,0.640957888707545,,0.4064629382622551,0.3626258585050343,0.8752357182473655
wustl,binary,E1,Llama-3.3-70B,LLM,0.99,0.98999899989999,0.99,0.9801960588196068,0.02,1.0
wustl,binary,E1,Qwen3-235B-A22B,LLM,0.99,0.98999899989999,0.99,0.9801960588196068,0.02,1.0
wustl,binary,E1,Hermes-4-70B,LLM,0.99,0.98999899989999,0.99,0.9801960588196068,0.02,1.0
wustl,binary,E1,Hermes-4-405B,LLM,0.99,0.98999899989999,0.99,0.9801960588196068,0.02,1.0
wustl,binary,E1,RandomForest,Anchor,0.99,0.98999899989999,0.99,0.9801960588196068,0.02,1.0
wustl,binary,E1,TabPFN,Anchor,0.99,0.98999899989999,0.99,0.9801960588196068,0.02,1.0
wustl,binary,E1,TabICL,Anchor,0.99,0.98999899989999,0.99,0.9801960588196068,0.02,1.0
wustl,binary,E2_k5,Qwen3-235B-A22B,LLM,0.99,0.98999899989999,,0.9801960588196068,0.02,1.0
wustl,binary,E2_k5,RandomForest,Anchor,0.99,0.98999899989999,,0.9801960588196068,0.02,1.0
wustl,binary,E2_k5,TabPFN,Anchor,0.99,0.98999899989999,,0.9801960588196068,0.02,1.0
wustl,binary,E2_k5,TabICL,Anchor,0.99,0.98999899989999,,0.9801960588196068,0.02,1.0
wustl,binary,E2_k10,Qwen3-235B-A22B,LLM,0.99,0.98999899989999,,0.9801960588196068,0.02,1.0
wustl,binary,E2_k10,RandomForest,Anchor,0.99,0.98999899989999,,0.9801960588196068,0.02,1.0
wustl,binary,E2_k10,TabPFN,Anchor,0.99,0.98999899989999,,0.9801960588196068,0.02,1.0
wustl,binary,E2_k10,TabICL,Anchor,0.99,0.98999899989999,,0.9801960588196068,0.02,1.0
wustl,binary,E2_k25,Qwen3-235B-A22B,LLM,0.99,0.98999899989999,,0.9801960588196068,0.02,1.0
wustl,binary,E2_k25,RandomForest,Anchor,0.99,0.98999899989999,,0.9801960588196068,0.02,1.0
wustl,binary,E2_k25,TabPFN,Anchor,0.99,0.98999899989999,,0.9801960588196068,0.02,1.0
wustl,binary,E2_k25,TabICL,Anchor,0.99,0.98999899989999,,0.9801960588196068,0.02,1.0
wustl,binary,E2_k50,Qwen3-235B-A22B,LLM,1.0,1.0,,1.0,0.0,1.0
wustl,binary,E2_k50,RandomForest,Anchor,1.0,1.0,,1.0,0.0,1.0
wustl,binary,E2_k50,TabPFN,Anchor,1.0,1.0,,1.0,0.0,1.0
wustl,binary,E2_k50,TabICL,Anchor,1.0,1.0,,1.0,0.0,1.0
wustl,binary,E2_k100,Qwen3-235B-A22B,LLM,1.0,1.0,,1.0,0.0,1.0
wustl,binary,E2_k100,RandomForest,Anchor,1.0,1.0,,1.0,0.0,1.0
wustl,binary,E2_k100,TabPFN,Anchor,1.0,1.0,,1.0,0.0,1.0
wustl,binary,E2_k100,TabICL,Anchor,1.0,1.0,,1.0,0.0,1.0
wustl,binary,E3_raw-json,Qwen3-235B-A22B,LLM,0.99,0.98999899989999,0.99,0.9801960588196068,0.02,1.0
wustl,binary,E3_typed-json,Qwen3-235B-A22B,LLM,0.99,0.98999899989999,0.99,0.9801960588196068,0.02,1.0
wustl,binary,E3_nl-narrative,Qwen3-235B-A22B,LLM,0.99,0.98999899989999,0.99,0.9801960588196068,0.02,1.0
wustl,binary,E3_role-instructed-ot,Qwen3-235B-A22B,LLM,0.99,0.98999899989999,0.99,0.9801960588196068,0.02,1.0
wustl,binary,E7_LLM_subset,Qwen3-235B-A22B,LLM,0.9858333333333332,0.9858313493286656,0.9858333333333332,0.9719389016815468,0.026,0.9976666666666668
wustl,binary,E7_anchor_full,RandomForest,Anchor,0.9837067413482696,0.9837051597495552,0.9837067413482696,0.9676013342581534,0.0261452290458091,0.9935587117423484
wustl,binary,E7_anchor_full,TabPFN,Anchor,0.9876575315063012,0.9876562265141248,0.9876575315063012,0.9755213503926792,0.0226245249049809,0.9979395879175836
wustl,binary,E7_anchor_full,TabICL,Anchor,0.9858871774354871,0.98588438986384,0.9858871774354871,0.9721583972945376,0.0281656331266253,0.9999399879975996
wustl,binary,E7_multiseed,Qwen3-235B-A22B,LLM,0.9860555555555556,0.9860536019777472,,0.972383504996102,0.0257777777777777,0.9978888888888888
wustl,binary,E7_multiseed,RandomForest,Anchor,0.9847402813896112,0.9847392389402762,,0.969610920450915,0.0233580049343201,0.9928385677135428
wustl,binary,E7_multiseed,TabICL,Anchor,0.9854504234180168,0.98544774778023,,0.971258488493267,0.0281122891244915,0.9990131359605252
wustl,binary,E7_multiseed,TabPFN,Anchor,0.987767553510702,0.9877662776001712,,0.9757386457585988,0.0224444888977795,0.9979795959191838
swat,multiclass,E1,Llama-3.3-70B,LLM,0.83,0.8249407887962105,0.8300000000000001,0.7018100265975371,0.0,0.66
swat,multiclass,E1,Qwen3-235B-A22B,LLM,0.83,0.8249407887962105,0.8300000000000001,0.7018100265975371,0.0,0.66
swat,multiclass,E1,Hermes-4-70B,LLM,0.73,0.7266929851199515,0.73,0.4715531116602195,0.38,0.84
swat,multiclass,E1,Hermes-4-405B,LLM,0.8,0.7916666666666667,0.8,0.6546536707079772,0.0,0.6
swat,multiclass,E1,RandomForest,Anchor,0.79,0.7803117480908045,0.79,0.6391014819458269,0.0,0.58
swat,multiclass,E1,TabPFN,Anchor,0.79,0.7803117480908045,0.79,0.6391014819458269,0.0,0.58
swat,multiclass,E1,TabICL,Anchor,0.82,0.8139727159983464,0.8200000000000001,0.6859943405700354,0.0,0.64
swat,multiclass,E2_k5,Qwen3-235B-A22B,LLM,0.83,0.8249407887962105,,0.7018100265975371,0.0,0.66
swat,multiclass,E2_k5,RandomForest,Anchor,0.79,0.7803117480908045,,0.6391014819458269,0.0,0.58
swat,multiclass,E2_k5,TabPFN,Anchor,0.79,0.7803117480908045,,0.6391014819458269,0.0,0.58
swat,multiclass,E2_k5,TabICL,Anchor,0.82,0.8139727159983464,,0.6859943405700354,0.0,0.64
swat,multiclass,E2_k10,Qwen3-235B-A22B,LLM,0.85,0.8465473145780051,,0.7337993857053429,0.0,0.7
swat,multiclass,E2_k10,RandomForest,Anchor,0.85,0.8465473145780051,,0.7337993857053429,0.0,0.7
swat,multiclass,E2_k10,TabPFN,Anchor,0.84,0.8383838383838383,,0.6940220937885672,0.06,0.74
swat,multiclass,E2_k10,TabICL,Anchor,0.86,0.8572011423908609,,0.75,0.0,0.72
swat,multiclass,E2_k25,Qwen3-235B-A22B,LLM,0.91,0.909265046879726,,0.8336157713463008,0.0,0.82
